ts,x,y,z,qw,qx,qy,qz,rx,ry,rz
45296300,0.00718142,-0.000122707,-0.000580234,0.995045,-0.0280831,0.0919455,-0.0253696,-0.0616155,0.182567,-0.0566228
45362966,0.0217786,-0.00056645,0.00153992,0.993643,-0.0307253,0.0936964,-0.0543147,-0.0725235,0.183899,-0.115906
45429633,0.042193,-0.00198278,0.00665499,0.990973,-0.0299579,0.108216,-0.0732397,-0.0770197,0.211667,-0.155731
45496300,0.0579555,-0.00644619,0.0112579,0.98899,-0.0286015,0.104823,-0.10046,-0.0793449,0.202983,-0.210547
45562966,0.0736495,-0.0148056,0.014706,0.98631,-0.0193907,0.10625,-0.12461,-0.0661796,0.206217,-0.258198
45629633,0.0925174,-0.0258796,0.0169019,0.983444,-0.0136339,0.112236,-0.141618,-0.0600706,0.218631,-0.292632
45696300,0.112996,-0.0398773,0.0157347,0.980906,-0.0197481,0.106462,-0.161552,-0.0747568,0.203887,-0.334114
45762966,0.138191,-0.0591832,0.0089437,0.977899,-0.0232306,0.105107,-0.179237,-0.0848799,0.198543,-0.371011
45829633,0.168707,-0.08299,-0.000307705,0.975666,-0.0175925,0.10352,-0.192484,-0.0757087,0.196492,-0.397033
45896300,0.204129,-0.109138,-0.0050969,0.975073,-0.00832329,0.100161,-0.197815,-0.0569484,0.193236,-0.405832
45962966,0.239933,-0.137549,-0.00378519,0.974777,-0.000727011,0.0932225,-0.20278,-0.0398973,0.182458,-0.413854
46029633,0.27855,-0.168346,0.00214197,0.973242,-0.000666168,0.0965987,-0.208491,-0.0423421,0.188871,-0.426079
46096300,0.311613,-0.199548,0.00951644,0.969439,-0.00393515,0.0820599,-0.231168,-0.0461597,0.157941,-0.471821
46162966,0.345522,-0.230574,0.0171591,0.963819,-0.00508297,0.0838859,-0.252962,-0.052937,0.159809,-0.517578
46229633,0.377845,-0.260617,0.019261,0.957281,-0.00815104,0.0842389,-0.276495,-0.0630093,0.157423,-0.567334
46296300,0.411501,-0.289054,0.0162169,0.950354,-0.0167543,0.0842801,-0.29907,-0.0832962,0.150741,-0.616057
46362966,0.447853,-0.318718,0.0110481,0.94204,-0.0172509,0.0828686,-0.324647,-0.0873401,0.145442,-0.670117
46429633,0.486749,-0.348479,0.00689766,0.934392,-0.0119003,0.078434,-0.3473,-0.0775415,0.138755,-0.717115
46496300,0.529587,-0.377465,0.0053709,0.925112,-0.0132736,0.0757911,-0.371816,-0.0817072,0.130732,-0.769662
46562966,0.576563,-0.407998,0.00823972,0.914785,-0.0103637,0.07473,-0.396832,-0.0790081,0.128855,-0.823698
46629633,0.622736,-0.439309,0.0127213,0.905579,-0.00647347,0.0819136,-0.416142,-0.0808171,0.143462,-0.867314
46696300,0.661947,-0.469224,0.014349,0.89658,-0.005683,0.0750525,-0.436439,-0.0764205,0.129986,-0.91101
46762966,0.700364,-0.50147,0.0162101,0.88928,-0.00187469,0.0813619,-0.450065,-0.0774432,0.143512,-0.942601
46829633,0.738088,-0.536033,0.0160903,0.883561,0.00463206,0.0849941,-0.460516,-0.071008,0.155082,-0.966454
46896300,0.774408,-0.572476,0.0117627,0.879003,0.00405728,0.0852668,-0.469113,-0.0738101,0.154318,-0.986175
46962966,0.812306,-0.615133,0.00334277,0.876251,0.00471992,0.0902674,-0.4733,-0.0782971,0.163388,-0.9969
47029633,0.851866,-0.663207,-0.00510346,0.876934,0.00258821,0.0906937,-0.471969,-0.0822411,0.162218,-0.994172
47096300,0.889851,-0.715066,-0.00931202,0.88006,0.00493323,0.0855308,-0.46707,-0.0721501,0.155782,-0.981482
47162966,0.923467,-0.769383,-0.00578793,0.88066,0.0122119,0.0785573,-0.467031,-0.052484,0.150337,-0.979169
47229633,0.955545,-0.825245,0.00195746,0.87994,0.0184018,0.0839573,-0.467245,-0.0467292,0.165709,-0.980154
47296300,0.982965,-0.876094,0.00686533,0.873623,0.00979932,0.0752361,-0.480652,-0.0557879,0.141346,-1.00992
47362966,1.01026,-0.926171,0.00926595,0.86719,0.00900519,0.0815312,-0.491176,-0.0652605,0.150823,-1.03563
47429633,1.03427,-0.972806,0.00757692,0.860178,0.0125577,0.0825442,-0.503112,-0.0622426,0.155264,-1.06332
47496300,1.06067,-1.01789,0.00240825,0.854805,0.0090925,0.0895899,-0.511077,-0.0771301,0.163181,-1.08404
47562966,1.08712,-1.06414,-0.00348988,0.84782,0.0102779,0.0877166,-0.522877,-0.0753371,0.160168,-1.11131
47629633,1.11492,-1.11228,-0.00838281,0.840314,0.0126879,0.0858237,-0.535113,-0.0714831,0.158479,-1.13976
47696300,1.14232,-1.15898,-0.00819862,0.829445,0.00545817,0.0789866,-0.552948,-0.0791251,0.137499,-1.18143
